comparison_id,minuend,subtrahend,group_index,colorless_caption_id,structure_id,template_id,is_canonical,regime,delta_structural_hit_at_1,delta_structural_hit_at_5,delta_structural_fractional_recall_at_5,delta_structural_mrr,delta_structural_ndcg_at_10,delta_best_relevant_margin
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,21,SCAP-EFDC071AF166C8C3-TPL_02,STR-EFDC071AF166C8C3,TPL_02,false,base_pattern,0.000000000000,-0.571428571429,-0.081632653061,-0.166558441558,-0.102189149453,0.008293147598
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,22,SCAP-EFDC071AF166C8C3-TPL_03,STR-EFDC071AF166C8C3,TPL_03,false,base_pattern,0.000000000000,-0.571428571429,-0.081632653061,-0.162496816908,-0.099466953238,0.011530522789
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,23,SCAP-EFDC071AF166C8C3-TPL_04,STR-EFDC071AF166C8C3,TPL_04,false,base_pattern,0.000000000000,-0.714285714286,-0.102040816326,-0.214285714286,-0.074501853220,0.023408283080
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,24,SCAP-EFDC071AF166C8C3-TPL_05,STR-EFDC071AF166C8C3,TPL_05,false,base_pattern,0.000000000000,-0.571428571429,-0.081632653061,-0.203648125917,-0.143024896365,0.008538937994
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,25,SCAP-7193EBD1DE12399C-TPL_01,STR-7193EBD1DE12399C,TPL_01,true,base_pattern,0.000000000000,0.285714285714,0.040816326531,-0.023809523810,0.051624533150,0.025232936654
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,26,SCAP-7193EBD1DE12399C-TPL_02,STR-7193EBD1DE12399C,TPL_02,false,base_pattern,0.571428571429,0.000000000000,0.448979591837,0.309523809524,0.452849131214,0.025102210896
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,27,SCAP-7193EBD1DE12399C-TPL_03,STR-7193EBD1DE12399C,TPL_03,false,base_pattern,0.857142857143,0.000000000000,0.408163265307,0.452380952381,0.418819110183,0.017654521125
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,28,SCAP-7193EBD1DE12399C-TPL_04,STR-7193EBD1DE12399C,TPL_04,false,base_pattern,1.000000000000,0.000000000000,0.285714285714,0.645238095238,0.536496995521,0.031429454684
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,29,SCAP-7193EBD1DE12399C-TPL_05,STR-7193EBD1DE12399C,TPL_05,false,base_pattern,0.857142857143,0.285714285714,0.326530612245,0.645238095238,0.478190223526,0.027721813747
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,30,SCAP-DBE3E9729199A70D-TPL_01,STR-DBE3E9729199A70D,TPL_01,true,heldout_pattern,0.000000000000,-0.857142857143,-0.122448979592,-0.096031746032,-0.037301025821,0.023248672486
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,31,SCAP-DBE3E9729199A70D-TPL_02,STR-DBE3E9729199A70D,TPL_02,false,heldout_pattern,0.000000000000,0.000000000000,0.000000000000,-0.079510127609,-0.051285459922,-0.006786065442
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,32,SCAP-DBE3E9729199A70D-TPL_03,STR-DBE3E9729199A70D,TPL_03,false,heldout_pattern,0.000000000000,-0.142857142857,-0.020408163265,-0.101422387137,-0.082416658814,0.018255361489
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,33,SCAP-DBE3E9729199A70D-TPL_04,STR-DBE3E9729199A70D,TPL_04,false,heldout_pattern,0.000000000000,-0.142857142857,-0.020408163265,-0.098356009071,-0.068898946889,0.023451060057
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,34,SCAP-DBE3E9729199A70D-TPL_05,STR-DBE3E9729199A70D,TPL_05,false,heldout_pattern,0.000000000000,0.571428571429,0.081632653061,0.316666666667,0.127026769911,0.028093035732
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,35,SCAP-74979A46916B9B50-TPL_01,STR-74979A46916B9B50,TPL_01,true,heldout_pattern,0.285714285714,0.000000000000,0.387755102041,0.142857142857,0.434078769618,0.034579517586
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,36,SCAP-74979A46916B9B50-TPL_02,STR-74979A46916B9B50,TPL_02,false,heldout_pattern,0.571428571429,0.000000000000,0.510204081633,0.333333333333,0.553164001439,0.056020732436
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,37,SCAP-74979A46916B9B50-TPL_03,STR-74979A46916B9B50,TPL_03,false,heldout_pattern,0.428571428571,0.142857142857,0.510204081633,0.285714285714,0.568024612169,0.066865026951
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,38,SCAP-74979A46916B9B50-TPL_04,STR-74979A46916B9B50,TPL_04,false,heldout_pattern,0.571428571429,0.000000000000,0.489795918368,0.369047619048,0.627370958573,0.060304867370
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,39,SCAP-74979A46916B9B50-TPL_05,STR-74979A46916B9B50,TPL_05,false,heldout_pattern,0.714285714286,0.000000000000,0.530612244898,0.380952380952,0.620014066174,0.054036127669
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,0,SCAP-A3FE31524DCA0243-TPL_01,STR-A3FE31524DCA0243,TPL_01,true,base_pattern,0.857142857143,0.000000000000,0.061224489796,0.488095238095,0.167495690824,0.011883899570
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,1,SCAP-A3FE31524DCA0243-TPL_02,STR-A3FE31524DCA0243,TPL_02,false,base_pattern,0.000000000000,0.000000000000,0.000000000000,-0.002396413111,-0.015021648544,0.009659543633
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,2,SCAP-A3FE31524DCA0243-TPL_03,STR-A3FE31524DCA0243,TPL_03,false,base_pattern,0.000000000000,1.000000000000,0.142857142857,0.214393939394,0.085347838660,0.023273433958
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,3,SCAP-A3FE31524DCA0243-TPL_04,STR-A3FE31524DCA0243,TPL_04,false,base_pattern,0.571428571429,0.000000000000,0.224489795919,0.369047619048,0.418799344201,0.017385682889
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,4,SCAP-A3FE31524DCA0243-TPL_05,STR-A3FE31524DCA0243,TPL_05,false,base_pattern,0.285714285714,0.000000000000,0.102040816327,0.190476190476,0.200215154628,-0.000316104718
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,5,SCAP-390DD4719A974C7E-TPL_01,STR-390DD4719A974C7E,TPL_01,true,base_pattern,-0.285714285714,-0.571428571429,-0.163265306122,-0.371490414347,-0.377363212059,-0.021078299199
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,6,SCAP-390DD4719A974C7E-TPL_02,STR-390DD4719A974C7E,TPL_02,false,base_pattern,0.000000000000,-0.142857142857,-0.040816326531,-0.083512726435,-0.044409403349,0.002567636116
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,7,SCAP-390DD4719A974C7E-TPL_03,STR-390DD4719A974C7E,TPL_03,false,base_pattern,0.000000000000,-0.142857142857,-0.020408163265,-0.029254277469,-0.038362825967,0.016335270235
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,8,SCAP-390DD4719A974C7E-TPL_04,STR-390DD4719A974C7E,TPL_04,false,base_pattern,0.000000000000,-0.142857142857,-0.020408163265,-0.057816690444,-0.030899388329,-0.020140183823
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,9,SCAP-390DD4719A974C7E-TPL_05,STR-390DD4719A974C7E,TPL_05,false,base_pattern,0.000000000000,-0.285714285714,-0.122448979592,-0.138856976357,-0.155828673619,-0.008820105876
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,10,SCAP-83B17E3514D80A83-TPL_01,STR-83B17E3514D80A83,TPL_01,true,base_pattern,0.000000000000,0.000000000000,0.081632653062,0.000000000000,0.192092100222,0.003289403660
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,11,SCAP-83B17E3514D80A83-TPL_02,STR-83B17E3514D80A83,TPL_02,false,base_pattern,0.857142857143,0.285714285714,0.387755102041,0.632993197279,0.362006700943,0.017994178193
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,12,SCAP-83B17E3514D80A83-TPL_03,STR-83B17E3514D80A83,TPL_03,false,base_pattern,0.857142857143,0.285714285714,0.285714285714,0.611734693878,0.220018734284,0.013566523790
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,13,SCAP-83B17E3514D80A83-TPL_04,STR-83B17E3514D80A83,TPL_04,false,base_pattern,0.142857142857,0.000000000000,-0.142857142857,0.095238095238,-0.103643997199,-0.007318011352
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,14,SCAP-83B17E3514D80A83-TPL_05,STR-83B17E3514D80A83,TPL_05,false,base_pattern,1.000000000000,0.142857142857,0.244897959183,0.714285714286,0.315088291350,0.011036385382
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,15,SCAP-32D96D397FD7BD30-TPL_01,STR-32D96D397FD7BD30,TPL_01,true,base_pattern,0.000000000000,0.000000000000,0.000000000000,0.091687552214,0.083925364586,0.011742708938
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,16,SCAP-32D96D397FD7BD30-TPL_02,STR-32D96D397FD7BD30,TPL_02,false,base_pattern,0.000000000000,0.000000000000,0.000000000000,0.038925954997,0.123019125971,0.017606858696
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,17,SCAP-32D96D397FD7BD30-TPL_03,STR-32D96D397FD7BD30,TPL_03,false,base_pattern,0.000000000000,0.857142857143,0.122448979592,0.054365079365,0.027777262879,0.023044175335
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,18,SCAP-32D96D397FD7BD30-TPL_04,STR-32D96D397FD7BD30,TPL_04,false,base_pattern,0.000000000000,1.000000000000,0.142857142857,0.145914347631,0.106336681030,0.020278138774
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,19,SCAP-32D96D397FD7BD30-TPL_05,STR-32D96D397FD7BD30,TPL_05,false,base_pattern,0.000000000000,-0.428571428571,-0.061224489796,-0.039050235479,0.055488323441,0.002508374197
